DESTINATIONID,Place Name,State,Tourist Location,Popularity,Review,Type,Budget
673,Dhule,Maharashtra,Shri Krishna Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
674,Dhule,Maharashtra,Sarvoday Ashram,Medium,"Ashram, spiritual retreat.",Spiritual,1500
675,Dhule,Maharashtra,Shirpur Hot Water Springs,Medium,"Natural hot springs, therapeutic.",Nature,2000
676,Dhule,Maharashtra,Nizampur,Medium,"Historical site, architectural ruins.",Historical,1000
677,Dhule,Maharashtra,Bahadarpur Fort,Medium,"Historical fort, scenic surroundings.",Historical,1500
678,Dibrugarh,Assam,Raidongia Dol,Medium,"Buddhist stupa, archaeological site.",Historical,2000
679,Dibrugarh,Assam,Namphake Village,Medium,"Buddhist village, cultural heritage.",Village,1000
680,Dibrugarh,Assam,Graham Bazaar,High,"Marketplace, shopping area.",Unique,1500
681,Dibrugarh,Assam,Khalihamari,High,"River, scenic surroundings.",Nature,2000
682,Dibrugarh,Assam,Dibru Saikhowa National Park,Medium,"National park, wildlife spotting.",Nature,1000
683,Dibrugarh,Assam,Namdapha National Park,Medium,"National park, wildlife spotting.",Nature,1500
684,Dibrugarh,Assam,Dehing Patkai Wildlife Sanctuary,Medium,"Wildlife sanctuary, nature trekking.",Nature,2000
685,Dibrugarh,Assam,Jokai Botanical Garden,Medium,"Botanical garden, diverse plant species.",Nature,1000
686,Dibrugarh,Assam,Dibru-Saikhowa National Park,High,"National park, biodiversity hotspot.",Nature,1500
687,Dibrugarh,Assam,Dibrugarh Hanuman Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
688,Diglipur,Andaman and Nicobar Islands,Ross and Smith Islands,High,Twin islands connected by a sandbar.,Nature,1000
689,Diglipur,Andaman and Nicobar Islands,Saddle Peak,Medium,Highest peak in the Andaman and Nicobar Islands.,Nature,1500
690,Diglipur,Andaman and Nicobar Islands,Limestone Caves,Medium,Natural caves with stalactites and stalagmites.,Nature,2000
691,Diglipur,Andaman and Nicobar Islands,Kalpong River,Low,"Scenic river, boat rides.",Nature,1000
692,Diglipur,Andaman and Nicobar Islands,Ramnagar Beach,Medium,"Picturesque beach, swimming, beachcombing.",Nature,1500
693,Dimapur,Nagaland,Chumukedima Village,High,"Naga village, cultural experience.",Village,2000
694,Dimapur,Nagaland,Kachari Ruins,Medium,"Archaeological site, ancient ruins.",Historical,1000
695,Dimapur,Nagaland,Rangapahar Reserve Forest,Medium,"Forest reserve, wildlife conservation.",Nature,1500
696,Dimapur,Nagaland,Sixth Mile,Medium,"Commercial area, shopping, and dining.",City,2000
697,Dindigul,Tamil Nadu,Dindigul Fort,Medium,"Historical fort, panoramic views.",Historical,1000
698,Dindigul,Tamil Nadu,Thadikombu Perumal Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
699,Dindigul,Tamil Nadu,Barathimalai Murugan Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
700,Dindigul,Tamil Nadu,Begambur Big Mosque,Medium,"Mosque, religious rituals.",Spiritual,1000
701,Dindigul,Tamil Nadu,Kamarajar Lake,Medium,"Lake, recreational activities.",Nature,1500
702,Dindigul,Tamil Nadu,Kodaikanal Lake,Medium,"Man-made lake, boating, scenic surroundings.",Nature,2000
703,Dindigul,Tamil Nadu,Balasubramaniya Swamy Temple,Low,"Hindu temple, religious rituals.",Spiritual,1000
704,Dindigul,Tamil Nadu,Distinctive Star-shaped Junction Tower,Low,"Historical landmark, architectural beauty.",Historical,1500
705,Dindigul,Tamil Nadu,Bear Shola Falls,Low,"Scenic waterfall, trekking destination.",Nature,2000
706,Doda,Jammu and Kashmir,Kishtwar National Park,High,"National park, wildlife sanctuary.",Nature,1000
707,Doda,Jammu and Kashmir,Bhaderwah Valley,Medium,"Valley, trekking, adventure sports.",Nature,1500
708,Doda,Jammu and Kashmir,Machail Yatra,Medium,"Pilgrimage trek, religious significance.",Spiritual,2000
709,Dras,Ladakh,Dras War Memorial,Medium,"War memorial, historical significance.",Historical,1000
710,Dras,Ladakh,Tololing Range,Medium,"Mountain range, trekking, scenic views.",Nature,1500
711,Dras,Ladakh,Dras Valley,Medium,"Valley, natural beauty, trekking.",Nature,2000
712,Durg,Chhattisgarh,Udanti Sanctuary,Medium,"Wildlife sanctuary, birdwatching.",Nature,1000
713,Durg,Chhattisgarh,Shri Uwassaggaharam Parshwa Tirth,Medium,"Jain temple, Religious rituals.",Spiritual,1500
714,Durg,Chhattisgarh,Sitamadi Waterfall,High,"Spectacular waterfall, natural beauty.",Nature,2000
715,Durg,Chhattisgarh,Jain Temples at Nagpura,High,"Jain temples, architectural beauty.",Spiritual,1000
716,Durgapur,West Bengal,Troika Park,Medium,"Amusement park, family-friendly attractions.",Entertainment,1500
717,Durgapur,West Bengal,Anand Amusement Park,Medium,"Amusement park, thrilling rides.",Entertainment,2000
718,Durgapur,West Bengal,Deul Park,Low,"Park with green spaces, walking trails.",Nature,1000
719,Durgapur,West Bengal,Durgapur Barrage,Medium,"Barrage, scenic surroundings.",Nature,1500
720,Durgapur,West Bengal,Durgapur Steel Plant,Medium,Steel manufacturing plant.,City,2000
721,Eluru,Andhra Pradesh,Kolleru Lake,Medium,"Lake, birdwatching.",Nature,1000
722,Eluru,Andhra Pradesh,Dwaraka Tirumala,Medium,"Hindu temple, religious significance.",Spiritual,1500
723,Eluru,Andhra Pradesh,Jeenmaan,High,"Spiritual center, meditation retreat.",Spiritual,2000
724,Eluru,Andhra Pradesh,Dwaraka Tirumala Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
725,Eluru,Andhra Pradesh,Jangareddigudem Town Hall,Medium,"Town hall, cultural events.",Unique,1500
726,Erode,Tamil Nadu,Thindal Murugan Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
727,Erode,Tamil Nadu,Sathyamangalam Wildlife Sanctuary,Medium,"Wildlife sanctuary, nature trekking.",Nature,1000
728,Erode,Tamil Nadu,Vellode Bird Sanctuary,Medium,"Bird sanctuary, birdwatching.",Nature,1500
729,Erode,Tamil Nadu,Periyar Memorial House,Medium,"Memorial, historical significance.",Historical,2000
730,Erode,Tamil Nadu,Sri Ramalinga Sowdambikai Amman Temple,Low,"Hindu temple, religious rituals.",Spiritual,1000
731,Erode,Tamil Nadu,Periya Mariamman Temple,Low,"Hindu temple, festival celebrations.",Spiritual,1500
732,Erode,Tamil Nadu,Kodiveri Dam,Low,"Scenic dam, boating, picnic spot.",Nature,2000
733,Etah,Uttar Pradesh,"Shiv Temple, Etah",Medium,"Hindu temple, religious rituals.",Spiritual,1000
734,Etah,Uttar Pradesh,"Bada Mandir, Etah",Medium,"Hindu temple, architectural beauty.",Spiritual,1500
735,Etah,Uttar Pradesh,"Jain Mandir, Etah",Medium,"Jain temple, religious rituals.",Spiritual,2000
736,Etawah,Uttar Pradesh,Samudra Koop,Medium,"Historical well, architectural significance.",Historical,1000
737,Etawah,Uttar Pradesh,Etawah Safari Park,Medium,"Safari park, wildlife conservation.",Nature,1500
738,Etawah,Uttar Pradesh,Chambal River Sanctuary,Medium,"Wildlife sanctuary, birdwatching.",Nature,2000
739,Etawah,Uttar Pradesh,"Ekdil, Etawah",Medium,"Historical site, architectural beauty.",Historical,1000
740,Etawah,Uttar Pradesh,Chambal Safari,Medium,"Wildlife safari, adventure.",Adventure,1500
741,Faizabad,Uttar Pradesh,Gulab Bari,Medium,"Mughal garden, historical monument.",Historical,2000
742,Faizabad,Uttar Pradesh,Bahu Begum ka Maqbara,Medium,"Historical mausoleum, architectural beauty.",Historical,1000
743,Faizabad,Uttar Pradesh,Faizabad Museum,Medium,"Museum, historical artifacts.",City,1500
744,Faridabad,Haryana,Surajkund,Medium,"Artificial lake, crafts fair.",Unique,2000
745,Faridabad,Haryana,Raja Nahar Singh Palace,Medium,"Historical palace, architectural beauty.",Historical,1000
746,Faridabad,Haryana,Crown Interiorz Mall,Medium,"Shopping mall, entertainment.",Entertainment,1500
747,Farrukhabad,Uttar Pradesh,Sankat Mochan Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
748,Farrukhabad,Uttar Pradesh,Agra Gate,Medium,"Historical gate, architectural significance.",Historical,1000
749,Farrukhabad,Uttar Pradesh,Kalan Mosque,Medium,"Historical mosque, cultural significance.",Spiritual,1500
750,Fatehabad,Haryana,Asigarh Fort,Medium,"Historical fort, panoramic views.",Historical,2000
751,Fatehabad,Haryana,Pehowa,Medium,"Pilgrimage site, religious rituals.",Spiritual,1000
752,Fatehabad,Haryana,Sarsai Nawar Wetland,Medium,"Wetland, birdwatching.",Nature,1500
753,Fatehpur,Uttar Pradesh,Bhitaura and Asani,Medium,"Archaeological site, ancient ruins.",Historical,2000
754,Fatehpur,Uttar Pradesh,Chaturbhuj Temple,Medium,"Hindu temple, architectural beauty.",Spiritual,1000
755,Fatehpur,Uttar Pradesh,Ram and Laxman Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
756,Fatehpur,Uttar Pradesh,Birla Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,2000
757,Fatehpur,Uttar Pradesh,Rajghat Dam,Medium,"Dam, water reservoir.",Nature,1000
758,Firozabad,Uttar Pradesh,Shri Radha Krishna Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,1500
759,Firozabad,Uttar Pradesh,Sankat Mochan Hanuman Mandir,Medium,"Hindu temple, spiritual significance.",Spiritual,2000
760,Firozabad,Uttar Pradesh,Sai Baba Mandir,Medium,"Hindu temple, dedicated to Sai Baba.",Spiritual,1000
761,Firozpur,Punjab,Firozpur Cantonment,Medium,"Military cantonment, historical significance.",Historical,1500
762,Firozpur,Punjab,Anglo Sikh War Memorial,Medium,"Memorial, historical significance.",Historical,2000
763,Firozpur,Punjab,Saragarhi Memorial Gurudwara,Medium,"Gurudwara, Sikh memorial.",Spiritual,1000
764,Firozpur,Punjab,National Martyrs Memorial,Medium,"Memorial, historical significance.",Historical,1500
765,Firozpur,Punjab,Feroz Shah Palace,Medium,"Palace, historical architecture.",Historical,2000
766,Gandhidham,Gujarat,Kandla Port,Medium,"Seaport, shipping hub.",Unique,1000
767,Gandhidham,Gujarat,Gandhi Market,Medium,"Marketplace, shopping center.",Unique,1500
768,Gandhidham,Gujarat,Purneshwar Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
769,Gandhidham,Gujarat,Tribal Museum,Medium,"Museum, showcasing tribal culture.",City,1000
770,Gandhinagar,Gujarat,Indroda Nature Park,Medium,"Nature park, wildlife conservation.",Nature,1500
771,Gandhinagar,Gujarat,Sarita Udhyan,Medium,"Urban park, recreational activities.",Nature,2000
772,Gandhinagar,Gujarat,Hanumanji Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
773,Gandhinagar,Gujarat,Swaminarayan Akshardham,Medium,"Hindu temple complex, spiritual and cultural center.",Spiritual,1500
774,Gandhinagar,Gujarat,Sarita Udyan,Medium,"Urban park, recreational activities.",Nature,2000
775,Gandhinagar,Gujarat,Vechaar Utensils Museum,Medium,"Museum, utensils collection.",City,1000
776,Gandhinagar,Gujarat,"Park B, Gandhinagar",Park,"Urban park, leisure activities.",Nature,1500
777,Gangtok,Sikkim,Rumtek Monastery,High,"Tibetan Buddhist monastery, religious significance.",Spiritual,2000
778,Gangtok,Sikkim,Nathu La Pass,High,"Mountain pass, Indo-China border.",Adventure,1000
779,Gangtok,Sikkim,Tsomgo Lake,High,"Glacial lake, scenic beauty.",Nature,1500
780,Gangtok,Sikkim,Baba Harbhajan Singh Temple,Medium,"Shrine, military significance.",Spiritual,2000
781,Gangtok,Sikkim,Enchey Monastery,Medium,"Buddhist monastery, serene atmosphere.",Spiritual,1000
782,Gangtok,Sikkim,Hanuman Tok,Medium,"Hindu temple, panoramic views.",Spiritual,1500
783,Gangtok,Sikkim,Banjhakri Falls,Medium,"Waterfall, natural beauty.",Nature,2000
784,Gangtok,Sikkim,Do Drul Chorten,Medium,"Stupa, religious rituals.",Spiritual,1000
785,Gangtok,Sikkim,Tashi Viewpoint,Low,"Scenic viewpoint, mountain vistas.",Nature,1500
786,Gannavaram,Andhra Pradesh,Sri Kanaka Durga Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
787,Gannavaram,Andhra Pradesh,Gannavaram Airport,Medium,"Airport, air transportation hub.",City,1000
788,Gannavaram,Andhra Pradesh,Dr. Pinnamaneni Siddhartha Institute of Medical Sciences & Research Foundation,Medium,"Medical college, education.",City,1500
789,Gannavaram,Andhra Pradesh,ISKCON Gannavaram,Medium,"Hindu temple, religious rituals.",Spiritual,2000
790,Gannavaram,Andhra Pradesh,Mangalagiri Nookalamma Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
791,Ghaziabad,Uttar Pradesh,Hindon Air Force Base,Medium,"Air force base, military operations.",Military,1500
792,Ghaziabad,Uttar Pradesh,Drizzling Land,Medium,"Water park, recreational activities.",Entertainment,2000
793,Ghaziabad,Uttar Pradesh,DPSG International School,Medium,"School, educational institution.",City,1000
794,Ghaziabad,Uttar Pradesh,"Shipra Mall, Ghaziabad",Medium,"Shopping mall, entertainment complex.",City,1500
795,Ghaziabad,Uttar Pradesh,Indirapuram Habitat Centre,Medium,"Recreational complex, cultural events.",Entertainment,2000
796,Ghaziabad,Uttar Pradesh,Swarna Jayanti Park,Medium,"Public park, jogging tracks.",Nature,1000
797,Giddalur,Andhra Pradesh,Jammalamadugu Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
798,Giddalur,Andhra Pradesh,Kanigiri Fort,Medium,"Historical fort, architectural ruins.",Historical,2000
799,Giddalur,Andhra Pradesh,Mallikarjuna Swamy Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
800,Giddalur,Andhra Pradesh,Srisailam Dam,Medium,"Dam on Krishna River, scenic surroundings.",Nature,1500
801,Giddalur,Andhra Pradesh,Mylavaram Dam,Medium,"Dam on Gundlakamma River, scenic views.",Nature,2000
802,Giridih,Jharkhand,Parasnath Hills,High,"Holy site, Jain pilgrimage center.",Spiritual,1000
803,Giridih,Jharkhand,Khandoli Park,Medium,"Public park, adventure activities.",Nature,1500
804,Giridih,Jharkhand,Usri Falls,Medium,"Scenic waterfall, picnic spot.",Nature,2000
805,Goalpara,Assam,Sri Sri Kedar Nath Mahadev Temple,High,"Hindu temple, religious rituals.",Spiritual,1000
806,Goalpara,Assam,Amjonga Madan Kamdev Temple,Medium,"Hindu temple, archaeological site.",Historical,1500
807,Goalpara,Assam,Sri Surya Pahar,High,"Hill, archaeological site.",Historical,2000
808,Goalpara,Assam,Abhayapuri College,Medium,"College, educational institution.",City,1000
809,Godhra,Gujarat,Pavagadh Hill,Medium,"Hill station, pilgrimage site.",Spiritual,1500
810,Godhra,Gujarat,Jambughoda Wildlife Sanctuary,Medium,"Wildlife sanctuary, nature reserve.",Nature,2000
811,Gokarna,Karnataka,Mahabaleshwar Temple,High,"Hindu temple, sacred pilgrimage site.",Spiritual,1000
812,Gokarna,Karnataka,Kudle Beach,Medium,"Scenic beach, water sports.",Nature,1500
813,Gokarna,Karnataka,Om Beach,Medium,"Popular beach, natural rock formations.",Nature,2000
814,Gonda,Uttar Pradesh,Dewa Sharif,Medium,"Pilgrimage site, religious significance.",Spiritual,1000
815,Gonda,Uttar Pradesh,Mankameshwar Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,1500
816,Gonda,Uttar Pradesh,Shuklaganj Buddha Vihar,Medium,"Buddhist vihara, religious significance.",Spiritual,2000
817,Gopalpur,Odisha,Rambha Point,Medium,"Panoramic viewpoint, sunset views.",Nature,1000
818,Gorakhpur,Uttar Pradesh,Gorakhnath Temple,High,"Hindu temple, religious pilgrimage site.",Spiritual,1500
819,Gorakhpur,Uttar Pradesh,Gita Press,Medium,"Publishing house, religious books and literature.",Spiritual,2000
820,Gorakhpur,Uttar Pradesh,Arogya Mandir,Medium,"Yoga and meditation center, wellness programs.",Spiritual,1000
821,Gorakhpur,Uttar Pradesh,Ramgarh Taal,Medium,"Artificial lake, boating, birdwatching.",Nature,1500
822,Gorakhpur,Uttar Pradesh,Geeta Vatika,Medium,"Garden, religious significance.",Spiritual,2000
823,Gorakhpur,Uttar Pradesh,Victoria Memorial,High,"Historical monument, British-era architecture.",Historical,1000
824,Gorakhpur,Uttar Pradesh,Planetarium,Medium,"Astronomical observatory, educational center.",City,1500
825,Gudivada,Andhra Pradesh,Sri Lakshmi Narasimha Swamy Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
826,Gudivada,Andhra Pradesh,Macha Kali Ammavari Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
827,Gudivada,Andhra Pradesh,Kotilingeshwara Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
828,Gudivada,Andhra Pradesh,Krishna River Barrage,Medium,"Barrage, scenic views.",Nature,2000
829,Gudivada,Andhra Pradesh,Ayyappa Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
830,Gudivada,Andhra Pradesh,Krishna Barrage Park,Medium,"Urban park, recreational activities.",Nature,1500
831,Gudivada,Andhra Pradesh,Chilukuru Balaji Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
832,Gudivada,Andhra Pradesh,Gudivada Market,Medium,"Marketplace, local shopping.",City,1000
833,Gudivada,Andhra Pradesh,Ksheerarama,Medium,"Hindu temple, religious rituals.",Spiritual,1500
834,Gudivada,Andhra Pradesh,Navodaya Hospital,Medium,"Hospital, healthcare services.",Healthcare,2000
835,Gudivada,Andhra Pradesh,Vinayaka Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
836,Gudivada,Andhra Pradesh,Krishna Barrage,Medium,"Barrage, scenic views.",Nature,1500
837,Gudur,Andhra Pradesh,Chandrashekara Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
838,Gudur,Andhra Pradesh,Penchalakona,Medium,"Hindu temple, religious rituals.",Spiritual,1000
839,Gudur,Andhra Pradesh,Jalakantesvara Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
840,Gudur,Andhra Pradesh,Narasimha Swamy Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
841,Gudur,Andhra Pradesh,Sri Vinayaka Swamy Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
842,Gudur,Andhra Pradesh,Narasimha Konda,Medium,"Hindu temple, religious rituals.",Spiritual,1500
843,Gulbarga,Karnataka,Jumma Masjid,High,"Historical mosque, Islamic architecture.",Spiritual,2000
844,Gulbarga,Karnataka,Khwaja Bande Nawaz Dargah,High,"Sufi shrine, religious significance.",Spiritual,1000
845,Gulbarga,Karnataka,Gulbarga Fort,Medium,"Historical fort, architectural ruins.",Historical,1500
846,Guna,Madhya Pradesh,Panchmukhi Hanuman Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,2000
847,Guna,Madhya Pradesh,Kedarnath Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
848,Guna,Madhya Pradesh,Srigovind Bhawan,Medium,"Hindu temple, religious rituals.",Spiritual,1500
849,Guna,Madhya Pradesh,Bajrangarh Fort,Medium,"Historical fort, panoramic views.",Historical,2000
850,Guna,Madhya Pradesh,Bharkhera Jain Temple,Medium,"Jain temple, religious rituals.",Spiritual,1000
851,Guntakal,Andhra Pradesh,"Darga, Guntakal",Medium,"Islamic dargah, religious rituals.",Spiritual,1500
852,Guntakal,Andhra Pradesh,Amruth Mahal Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
853,Guntur,Andhra Pradesh,Uppalapadu Bird Sanctuary,Medium,"Bird sanctuary, migratory birds.",Nature,1000
854,Guntur,Andhra Pradesh,Kondaveedu Fort,Medium,"Historical fort, panoramic views.",Historical,1500
855,Guntur,Andhra Pradesh,Kotappakonda,Medium,"Hindu pilgrimage site, religious significance.",Spiritual,2000
856,Guntur,Andhra Pradesh,"Amaravati, Guntur",Medium,"Historical site, Buddhist stupa ruins.",Historical,1000
857,Gurgaon,Haryana,Kingdom of Dreams,High,Cultural and entertainment complex.,Unique,1500
858,Gurgaon,Haryana,Sultanpur National Park,Medium,"Bird sanctuary, birdwatching.",Nature,2000
859,Gurgaon,Haryana,Leisure Valley Park,Medium,"Urban park, recreational activities.",Nature,1000
860,Guwahati,Assam,Kamakhya Temple,High,"Sacred temple, religious pilgrimage site.",Spiritual,1500
861,Guwahati,Assam,Umananda Island,Medium,"Island temple, scenic river views.",Nature,2000
862,Guwahati,Assam,Assam State Zoo,Medium,Zoo with regional wildlife species.,Wildlife,1000
863,Guwahati,Assam,Kaziranga National Park,High,"National park, wildlife sanctuary.",Nature,1500
864,Guwahati,Assam,Umananda Temple,High,"Hindu temple, on an island in the Brahmaputra River.",Spiritual,2000
865,Guwahati,Assam,Assam State Museum,Medium,"Museum, artifacts on Assamese history.",Unique,1000
866,Guwahati,Assam,Srimanta Sankardev Kalakshetra,Medium,"Cultural center, Assamese heritage.",Unique,1500
867,Gwalior,Madhya Pradesh,Gwalior Fort,High,"Historical fort, panoramic views.",Historical,2000
868,Gwalior,Madhya Pradesh,Jai Vilas Palace,Medium,"Royal palace, opulent interiors.",Historical,1000
869,Gwalior,Madhya Pradesh,Sas Bahu Temple,Medium,"Ancient temple, intricate carvings.",Spiritual,1500
870,Gwalior,Madhya Pradesh,Teli Ka Mandir,Medium,"Hindu temple, historical significance.",Spiritual,2000
871,Hajipur,Bihar,Hazrat Makhdoom Syed Shah Dargah,Medium,"Sufi shrine, religious rituals.",Spiritual,1000
872,Hajipur,Bihar,Buddha Stupa,Medium,"Buddhist stupa, archaeological site.",Historical,1500
873,Hajipur,Bihar,Vishwa Shanti Stupa,Medium,"Buddhist stupa, peace monument.",Spiritual,2000
874,Hajipur,Bihar,Makhdum Kund,Medium,"Historical site, pilgrimage destination.",Spiritual,1000
875,Haldia,West Bengal,Haldia Dock Complex,Medium,"Seaport, shipping hub.",Unique,1500
876,Haldia,West Bengal,Saptamukhi River,Medium,"River, boating facilities.",Nature,2000
877,Haldia,West Bengal,Haldia Refinery,Medium,"Oil refinery, industrial site.",City,1000
878,Haldia,West Bengal,Tamluk Rajbari,Medium,"Historical palace, architectural beauty.",Historical,1500
879,Haldia,West Bengal,Haldia Beach,Medium,"Beach, recreational activities.",Nature,2000
880,Haldia,West Bengal,Geonkhali,Medium,"Riverfront, scenic views.",Nature,1000
881,Haldwani,Uttarakhand,Kathgodam Railway Station,Medium,"Railway station, transportation hub.",City,1500
882,Haldwani,Uttarakhand,Hanuman Garhi Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
883,Haldwani,Uttarakhand,Terai Region,Medium,"Forest region, wildlife spotting.",Nature,1000
884,Haldwani,Uttarakhand,Gaula Barrage,Medium,"Barrage, water reservoir.",Nature,1500
885,Haldwani,Uttarakhand,Chitai Golu Devta Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
886,Haldwani,Uttarakhand,Himalayan Botanic Garden,Medium,"Botanical garden, plant species.",Nature,1000
887,Haldwani,Uttarakhand,Pantnagar University,Medium,"University campus, agricultural research.",City,1500
888,Haldwani,Uttarakhand,Corbett Falls,Medium,"Waterfall, natural beauty, trekking.",Nature,2000
889,Haldwani-cum-Kathgodam,Uttarakhand,Gobind Ballabh Pant University of Agriculture and Technology,Medium,"University, agricultural education.",City,1000
890,Haldwani-cum-Kathgodam,Uttarakhand,Hedakhan Ashram,Medium,"Spiritual center, meditation retreat.",Spiritual,1500
891,Hampi,Karnataka,Virupaksha Temple,High,"Hindu temple, UNESCO World Heritage Site.",Spiritual,2000
892,Hampi,Karnataka,Vittala Temple,High,"Hindu temple, stone chariot.",Spiritual,1000
893,Hampi,Karnataka,Hemakuta Hill,High,"Hill, panoramic views of Hampi ruins.",Nature,1500
894,Hapur,Uttar Pradesh,Pura Qila,Medium,"Historical fort, architectural ruins.",Historical,2000
895,Hapur,Uttar Pradesh,Brahma Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
896,Hapur,Uttar Pradesh,Chandi Mandir,Medium,"Hindu temple, dedicated to Goddess Chandi.",Spiritual,1500
897,Hapur,Uttar Pradesh,Brahma Baba Dham,Medium,"Hindu temple, religious rituals.",Spiritual,2000
898,Hapur,Uttar Pradesh,Mukteshwar Mahadev Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
899,Hapur,Uttar Pradesh,Koti Shiv Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,1500
900,Hapur,Uttar Pradesh,Pataleshwar Temple,Medium,"Hindu temple, religious rituals.",Spiritual,2000
901,Hapur,Uttar Pradesh,Pura Maha Deva Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,1000
902,Hapur,Uttar Pradesh,Mankameshwar Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
903,Haridwar,Uttarakhand,Har Ki Pauri,High,"Hindu ghat, religious rituals.",Spiritual,2000
904,Haridwar,Uttarakhand,Mansa Devi Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1000
905,Haridwar,Uttarakhand,Chandi Devi Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
906,Hassan,Karnataka,Hoysaleswara Temple,High,"Hindu temple, Hoysala architecture.",Spiritual,2000
907,Hassan,Karnataka,Belur Temple,High,"Hindu temple, Chennakesava Temple.",Spiritual,1000
908,Hassan,Karnataka,Shravanabelagola,High,"Jain pilgrimage center, Gommateshwara statue.",Spiritual,1500
909,Hassan,Karnataka,Halebidu Temple,High,"Hindu temple, Hoysala architecture.",Spiritual,2000
910,Hathras,Uttar Pradesh,Pandit Kali Charan Sharma Government Ayurvedic College and Hospital,Medium,"Ayurvedic college and hospital, healthcare education.",City,1000
911,Hathras,Uttar Pradesh,Banshi Vat,Medium,"Historical garden, cultural significance.",Unique,1500
912,Hathras,Uttar Pradesh,Gandhi Park,Medium,"Urban park, recreational activities.",Nature,2000
913,Havelock Island,Andaman and Nicobar Islands,Radhanagar Beach,High,"Prized beach, swimming, sunbathing.",Nature,1000
914,Havelock Island,Andaman and Nicobar Islands,Elephant Beach,Medium,"Scenic beach, water activities.",Nature,1500
915,Havelock Island,Andaman and Nicobar Islands,Kalapathar Beach,Low,"Picturesque beach, sunset views.",Nature,2000
916,Havelock Island,Andaman and Nicobar Islands,Neil's Cove,Low,"Secluded cove, snorkeling spot.",Nature,1000
917,Havelock Island,Andaman and Nicobar Islands,Vijaynagar Beach,Low,"Tranquil beach, relaxation.",Nature,1500
918,Hazaribagh,Jharkhand,Hazaribagh National Park,Medium,"National park, wildlife spotting.",Nature,2000
919,Hazaribagh,Jharkhand,Canary Hill,Medium,"Hill station, panoramic views.",Nature,1000
920,Hazaribagh,Jharkhand,Birsa Munda Park,Medium,"Urban park, recreational activities.",Nature,1500
921,Hazaribagh,Jharkhand,Iskon Temple,Medium,"Hindu temple, spiritual retreat.",Spiritual,2000
922,Hazaribagh,Jharkhand,Jonha Falls,Medium,"Spectacular waterfall, natural beauty.",Nature,1000
923,Hemis,Ladakh,Hemis Monastery,Medium,"Buddhist monastery, cultural heritage.",Spiritual,1500
924,Hemis,Ladakh,Hemis National Park,High,"National park, snow leopards.",Nature,2000
925,Hemis,Ladakh,Hemis Gompa,Medium,"Buddhist monastery, festival celebrations.",Spiritual,1000
926,Hinganghat,Maharashtra,Sant Gajanan Maharaj Temple,Medium,"Hindu temple, religious rituals.",Spiritual,1500
927,Hinganghat,Maharashtra,Chandika Devi Mandir,Medium,"Hindu temple, religious rituals.",Spiritual,2000
928,Hinganghat,Maharashtra,Ramanwadi Dam,Medium,"Dam, water reservoir.",Nature,1000
929,Hinganghat,Maharashtra,Ramtek,Medium,"Hill station, religious rituals.",Spiritual,1500
930,Hinganghat,Maharashtra,Gangakhed Dam,Medium,"Dam, water reservoir.",Nature,2000
931,Hisar,Haryana,Blue Bird Lake,Medium,"Lake, boating facilities.",Nature,1000
